"22114",4.25,3.62,3.71,3.04,3.00,4.20,4.50,4.00,3.87,3.37,3.75,3.50,3.75,3.62,4.37,2.62,3.62,3.62,4.12,4.00,1.87,4.12,3.50,2.00,3.62,3.87,4.12
"22117",4.18,3.66,3.65,2.95,3.00,4.08,4.62,3.75,4.00,3.37,3.50,3.37,3.87,3.50,4.12,2.75,3.37,3.62,4.12,4.00,2.00,4.12,3.62,2.00,3.62,3.75,4.00
"22121",4.31,3.50,3.62,3.16,3.08,4.04,4.50,4.12,3.87,3.50,3.62,3.50,3.50,3.50,4.00,2.37,3.50,3.37,3.87,3.87,2.50,4.00,3.62,2.12,3.75,3.62,4.25
"22123",4.18,3.41,3.40,3.20,2.95,4.20,4.50,3.87,3.75,3.12,3.37,3.37,3.37,3.37,4.37,2.75,3.75,3.25,4.12,3.75,2.50,3.87,3.50,2.00,3.50,3.37,4.12
"22126A",4.18,3.54,3.53,3.08,3.12,4.20,4.50,3.87,3.62,3.25,3.25,3.62,3.50,3.37,4.25,2.87,3.62,3.50,4.25,3.87,2.25,4.12,3.62,2.12,3.50,3.87,4.12
"22126B",4.18,3.56,3.50,3.00,3.00,4.20,4.50,3.87,3.75,3.12,3.25,3.62,3.50,3.25,4.25,3.12,3.62,3.62,4.25,3.62,2.12,4.00,3.37,2.00,3.25,4.12,4.12
"22127",4.43,3.77,3.71,3.16,3.16,4.29,4.75,4.12,4.12,3.37,3.75,3.75,3.62,3.37,4.37,3.25,3.75,3.62,4.37,3.87,2.37,4.12,3.50,2.25,3.25,4.50,4.12
"22128",4.18,3.47,3.65,3.12,3.12,4.20,4.50,3.87,4.00,3.25,4.00,3.75,3.37,3.50,4.25,2.50,3.25,3.37,4.12,3.62,2.62,4.00,3.50,2.12,3.50,3.87,4.25
"22132A",4.00,3.41,3.53,3.08,3.25,4.08,4.12,3.87,3.87,3.12,3.75,3.62,3.12,3.50,4.00,2.75,3.00,3.25,4.12,3.75,2.75,4.00,3.75,2.37,3.37,3.62,4.12
"22132B",4.00,3.18,3.43,3.25,3.29,4.04,4.00,4.00,3.50,2.87,3.62,3.62,3.12,3.37,3.87,2.62,3.25,3.25,4.12,3.50,3.12,4.00,3.75,2.50,3.12,3.25,4.12
"22132C",4.25,3.58,3.31,2.83,3.08,4.04,4.25,4.25,3.87,2.87,3.37,3.62,3.37,2.75,4.00,3.37,3.25,3.25,4.00,3.62,2.50,3.75,3.50,2.12,3.37,3.87,4.12
"22135",4.25,3.68,3.65,2.91,3.04,4.33,4.37,4.12,4.00,3.12,3.75,3.62,3.62,3.12,4.25,3.00,3.50,3.62,4.25,3.87,2.12,4.12,3.37,2.12,3.62,4.00,4.50
"22138",4.25,3.47,3.53,3.08,3.00,4.16,4.62,3.87,3.75,2.87,3.75,3.50,3.50,3.37,4.25,2.87,3.50,3.50,4.00,3.62,2.37,4.00,3.37,2.12,3.50,3.62,4.25
"22197",4.43,3.56,3.62,3.04,3.00,4.25,4.50,4.37,4.00,3.37,3.50,3.50,3.50,3.50,4.25,2.87,3.50,3.62,4.25,3.75,2.12,4.00,3.37,2.12,3.37,3.87,4.25
"22302",4.75,3.77,3.71,3.20,2.45,4.20,4.87,4.62,3.50,2.75,3.12,2.87,4.12,3.25,4.75,3.37,3.50,4.62,3.87,3.87,2.87,4.37,2.75,1.75,3.62,4.12,4.00
"22305",4.62,3.60,3.43,3.16,2.62,4.16,4.87,4.37,3.62,2.75,3.00,3.12,3.87,3.25,4.62,3.37,3.75,3.87,3.87,3.50,2.50,4.12,2.87,1.87,3.50,3.75,4.00
"22308",4.37,3.45,3.34,3.29,2.62,3.91,4.75,4.00,3.37,2.87,2.62,3.00,3.62,3.25,4.25,3.25,3.87,3.87,3.62,3.62,2.75,4.00,2.87,2.00,3.25,3.62,3.87
"22311A",4.00,3.47,2.68,2.87,2.54,3.95,4.12,3.87,3.37,2.75,2.12,3.37,3.37,2.50,3.37,3.75,4.12,2.62,4.12,3.50,2.00,3.25,2.37,1.87,3.00,3.87,4.37
"22311B",3.93,3.41,3.31,3.08,3.00,3.62,3.75,4.12,3.62,3.12,3.25,3.50,3.62,3.00,3.25,2.62,4.12,3.25,3.75,3.75,2.12,3.62,3.12,2.37,3.50,3.37,3.87
"22502",3.68,3.41,2.96,3.12,3.41,2.70,3.75,3.62,3.87,3.50,2.62,3.37,3.25,3.25,2.62,2.75,3.87,2.62,2.87,3.62,2.25,3.12,3.75,3.12,3.12,3.87,2.62
